cnae_2.0_subclasse,municipio,vinculo_ativo_31_12
8111700,431440,1
8122200,431440,1
8111700,431440,1
3811400,431440,1
3811400,431440,1
8111700,431440,1
3811400,431440,1
8122200,431440,1
3811400,431440,1
3811400,431440,1
3811400,431440,1
3811400,431440,1
3811400,431440,1
3811400,431440,1
3811400,431440,1
3811400,431440,1
3811400,431440,1
3811400,431440,1
3811400,431440,1
3811400,431440,1
3811400,431440,1
3811400,431440,1
3811400,431440,1
3811400,431440,1
3811400,431440,1
3811400,431440,1
3811400,431440,1
3811400,431440,1
3811400,431440,1
3811400,431440,1
3811400,431440,1
3811400,431440,1
3811400,431440,1
3811400,431440,1
3811400,431440,1
8129000,431440,1
8111700,431440,1
8111700,431440,1
8111700,431440,1
8111700,431440,1
3811400,431440,1
8122200,431440,1
3811400,431440,1
8111700,431440,1
8111700,431440,1
8111700,431440,1
3811400,431440,1
3811400,431440,1
3811400,431440,1
3811400,431440,1
3811400,431440,1
3811400,431440,1
3811400,431440,1
3811400,431440,1
3811400,431440,1
3811400,431440,1
3811400,431440,1
3811400,431440,1
3811400,431440,1
3811400,431440,1
3811400,431440,1
3811400,431440,1
3811400,431440,1
3811400,431440,1
3811400,431440,1
3811400,431440,1
3811400,431440,1
3811400,431440,1
3811400,431440,1
3811400,431440,1
3811400,431440,1
3811400,431440,1
3811400,431440,1
3811400,431440,1
3811400,431440,1
3811400,431440,1
3811400,431440,1
3811400,431440,1
3811400,431440,1
3811400,431440,1
3811400,431440,1
3811400,431440,1
3811400,431440,1
3811400,431440,1
3811400,431440,1
3811400,431440,1
3811400,431440,1
3811400,431440,1
3811400,431440,1
3811400,431440,1
3811400,431440,1
3811400,431440,1
3811400,431440,1
3811400,431440,1
3811400,431440,1
3811400,431440,1
3811400,431440,1
3811400,431440,1
3811400,431440,1
3811400,431440,1
3811400,431440,1
3811400,431440,1
3811400,431440,1
3811400,431440,1
3811400,431440,1
3811400,431440,1
3811400,431440,1
3811400,431440,1
8122200,431440,1
3811400,431440,1
3811400,431440,1
3811400,431440,1
3811400,431440,1
3811400,431440,1
3811400,431440,1
8020001,431440,1
8111700,431440,1
3811400,431440,1
3811400,431440,1
3811400,431440,1
3811400,431440,1
3811400,431440,1
3811400,431440,1
3811400,431440,1
3811400,431440,1
3811400,431440,1
3811400,431440,1
3811400,431440,1
3811400,431440,1
3811400,431440,1
3811400,431440,1
3811400,431440,1
3811400,431440,1
3811400,431440,1
3811400,431440,1
8111700,431440,1
