cnae_fiscal;2021;2022;2023;2024;2025;2026;cnae
8111700;608;890;1078;1217;1305;1340;SERVIÇOS COMBNADOS PARA APOIO A EDIFÍCIOS, EXCETO CONDOMÍNIOS PREDIAIS
8121400;102;170;245;249;300;304;LIMPEZA EM PRÉDIOS E DOMICÍLIOS
8129000;91;104;83;91;84;16;ATIVIDADES DE LIMPEZA NÃO ESPECIFICADAS ANTERIORMENTE
9700500;1;5;2;3;2;2;UNIDADES DOMICILIARES QUE CONTRATAM EMPREGADOS DOMÉSTICOS PARA PRESTAÇÃO DE SERVIÇOS DE CAMAREIRO DOMÉSTICO
3821100;0;0;0;0;0;0;OPERAÇÃO DE DEPÓSITOS DE LIXO E ATERROS SANITÁRIOS PARA DISPOSIÇÃO DE RESÍDUOS NÃO-PERIGOSOS
8020001;223;299;292;282;238;231;MONITORAMENTO DE EQUIPAMENTOS DE SEGURANÇA COM A VENDA, INSTALAÇÃO E MANUTENÇÃO ASSOCIADAS
3811400;308;297;307;328;323;321;SERVIÇOS DE LIMPEZA URBANA, EXCETO GESTÃO DE ATERROS SANITÁRIOS
8130300;126;146;210;259;415;398;SERVIÇOS DE PAISAGISMO, LIMPEZA, MANUTENÇÃO, PLANTIO DE JARDINS
8122200;161;180;173;168;168;165;ATIVIDADE DE COMBATE E CONTROLE DE PRAGAS URBANAS
3839401;0;0;0;0;0;0;OBTENÇÃO DE COMPOSTOS ORGÂNICOS PARA FERTILIZAÇÃO DO SOLO A PARTIR DE PROCESSO DE DEGRADAÇÃO BIOLÓGICA DE RESÍDUOS ORGÂNICOS (RESTOS DE ALIMENTOS, ESTERCOS ANIMAIS, RESTOS DE CULTURAS AGRÍCOLAS)
3812200;2;3;3;3;3;2;COLETA DE RESÍDUOS PERIGOSOS QUALQUER ESTADO FÍSICO (SÓLIDO, LÍQUIDO, PASTOSO, GRANULADO)
