cnae_fiscal;2021;2022;2023;2024;2025;2026;cnae
8111700;1553;2246;2730;2947;3085;3078;SERVIÇOS COMBNADOS PARA APOIO A EDIFÍCIOS, EXCETO CONDOMÍNIOS PREDIAIS
8121400;2437;1900;2265;2349;2342;2439;LIMPEZA EM PRÉDIOS E DOMICÍLIOS
8129000;299;220;194;176;175;181;ATIVIDADES DE LIMPEZA NÃO ESPECIFICADAS ANTERIORMENTE
9700500;15;21;15;13;26;32;UNIDADES DOMICILIARES QUE CONTRATAM EMPREGADOS DOMÉSTICOS PARA PRESTAÇÃO DE SERVIÇOS DE CAMAREIRO DOMÉSTICO
3821100;49;50;72;76;98;114;OPERAÇÃO DE DEPÓSITOS DE LIXO E ATERROS SANITÁRIOS PARA DISPOSIÇÃO DE RESÍDUOS NÃO-PERIGOSOS
8020001;553;712;747;655;684;690;MONITORAMENTO DE EQUIPAMENTOS DE SEGURANÇA COM A VENDA, INSTALAÇÃO E MANUTENÇÃO ASSOCIADAS
3811400;76;155;319;417;398;486;SERVIÇOS DE LIMPEZA URBANA, EXCETO GESTÃO DE ATERROS SANITÁRIOS
8130300;91;110;97;106;127;126;SERVIÇOS DE PAISAGISMO, LIMPEZA, MANUTENÇÃO, PLANTIO DE JARDINS
8122200;194;212;221;261;279;283;ATIVIDADE DE COMBATE E CONTROLE DE PRAGAS URBANAS
3839401;0;0;1;1;0;0;OBTENÇÃO DE COMPOSTOS ORGÂNICOS PARA FERTILIZAÇÃO DO SOLO A PARTIR DE PROCESSO DE DEGRADAÇÃO BIOLÓGICA DE RESÍDUOS ORGÂNICOS (RESTOS DE ALIMENTOS, ESTERCOS ANIMAIS, RESTOS DE CULTURAS AGRÍCOLAS)
3812200;76;17;18;20;21;18;COLETA DE RESÍDUOS PERIGOSOS QUALQUER ESTADO FÍSICO (SÓLIDO, LÍQUIDO, PASTOSO, GRANULADO)
