subclasse,municipio,saldomovimentacao,competenciamov
8121400,431410,-1,202501
8121400,431410,-1,202501
8121400,431410,1,202501
8121400,431410,-1,202501
8121400,431410,-1,202501
8121400,431410,-1,202501
8121400,431410,-1,202501
8129000,431410,1,202501
8020001,431410,1,202501
3811400,432340,-1,202501
8121400,431410,-1,202501
8121400,431410,-1,202501
8121400,431410,1,202501
8111700,431410,-1,202501
8130300,432340,-1,202501
8020001,431370,-1,202501
8129000,431410,1,202501
8121400,431410,-1,202501
8121400,431410,1,202501
8121400,431410,1,202501
8121400,431410,1,202501
8121400,431410,1,202501
3811400,431370,1,202501
8129000,431410,-1,202501
3811400,432340,-1,202501
8121400,431265,-1,202501
8121400,431410,1,202501
8121400,431410,-1,202501
8121400,431410,-1,202501
3811400,432340,1,202501
3821100,432320,1,202501
8121400,431410,-1,202501
8121400,431410,-1,202501
8121400,431410,1,202501
8020001,431410,-1,202501
8121400,431410,-1,202501
3811400,432340,1,202501
8121400,431265,1,202501
8121400,431410,-1,202501
8020001,431410,1,202501
8121400,431410,1,202501
3821100,432320,-1,202501
8130300,432340,1,202501
8129000,431410,1,202501
8121400,431410,1,202501
8121400,431410,-1,202501
8121400,431410,1,202501
8121400,431410,1,202501
8121400,431410,1,202501
8129000,431410,1,202501
3811400,432185,-1,202501
8020001,432090,1,202501
8121400,431410,-1,202501
8121400,431410,-1,202501
8121400,431410,-1,202501
8121400,431410,-1,202501
8121400,431410,1,202501
3811400,432340,1,202501
8020001,432090,1,202501
8121400,431410,1,202501
3811400,432340,1,202501
3812200,432290,-1,202501
8121400,431410,-1,202501
3811400,432340,1,202501
8121400,431410,1,202501
3811400,432340,-1,202501
3811400,432340,1,202501
8121400,431265,1,202501
8121400,431265,1,202501
3811400,431410,-1,202501
8121400,431410,-1,202501
8121400,431410,-1,202501
8121400,431410,1,202501
8121400,431265,-1,202501
8121400,431265,1,202501
8121400,431410,-1,202501
8111700,431410,-1,202501
8020001,431410,1,202501
3811400,432340,-1,202501
8121400,431410,1,202501
8121400,431410,1,202501
3821100,432040,-1,202501
8129000,431410,-1,202501
8130300,432340,1,202501
3811400,432340,-1,202501
8121400,431410,-1,202501
8129000,431410,-1,202501
8121400,431410,-1,202501
8121400,431410,1,202501
8111700,431410,1,202501
8121400,431265,-1,202501
8121400,431410,1,202501
8129000,431410,1,202501
8121400,431410,1,202501
8121400,431410,-1,202501
3811400,432100,-1,202501
3811400,432340,1,202501
8111700,431410,-1,202501
8121400,431410,-1,202501
8121400,431410,1,202501
8121400,431410,1,202501
8121400,431410,1,202501
8121400,431265,-1,202501
8020001,431660,1,202501
8121400,431410,1,202501
8121400,431410,1,202501
8129000,431410,1,202501
8121400,431410,1,202501
8121400,431410,1,202501
3821100,432040,-1,202501
8121400,431410,1,202501
8121400,431410,-1,202501
3811400,432340,1,202501
8121400,431265,1,202501
8111700,432340,1,202501
8121400,431410,-1,202501
8121400,431410,-1,202501
8121400,431410,1,202501
8121400,431265,-1,202501
8121400,431410,1,202501
8121400,431410,-1,202501
3821100,432040,-1,202501
8121400,431410,1,202501
3811400,432340,1,202501
8121400,431265,1,202501
8121400,431410,1,202501
8121400,431265,-1,202501
8121400,431265,1,202501
3811400,432340,-1,202501
8121400,431410,-1,202501
8129000,431410,-1,202501
3811400,432340,-1,202501
8121400,431410,-1,202501
8121400,431265,-1,202501
8121400,431410,-1,202501
8121400,431410,-1,202501
3811400,432340,-1,202501
8121400,431410,-1,202501
8121400,431410,1,202501
8020001,432090,1,202501
8020001,431410,-1,202501
3811400,432340,1,202501
8121400,431410,1,202501
8121400,431410,1,202501
8121400,431410,-1,202501
8121400,432090,-1,202501
8020001,431410,-1,202501
3811400,432340,1,202501
8121400,431410,-1,202501
8121400,431410,-1,202501
8130300,432340,1,202501
8121400,431410,1,202501
8121400,431410,1,202501
8121400,431410,-1,202501
3811400,432340,-1,202501
8121400,431265,1,202501
8020001,431410,1,202501
8121400,431410,1,202501
8121400,431410,1,202501
3811400,432340,-1,202501
8121400,431410,-1,202501
8130300,432340,-1,202501
3811400,432340,1,202501
8121400,431265,1,202501
8121400,431410,1,202501
3811400,432340,1,202501
8121400,431410,1,202501
8129000,431410,-1,202501
8121400,431410,-1,202501
8020001,431410,1,202501
3811400,432340,-1,202501
8121400,431410,1,202501
8121400,431265,1,202501
8020001,431670,-1,202501
8129000,431410,-1,202501
8121400,431410,1,202501
3811400,432340,-1,202501
8130300,432340,1,202501
8129000,431410,1,202501
8121400,431410,-1,202501
8020001,431410,1,202501
8121400,431410,-1,202501
8121400,431410,-1,202501
8130300,432340,-1,202501
8020001,431410,-1,202501
8121400,431410,1,202501
8121400,431265,-1,202501
8121400,431410,1,202501
8121400,431410,1,202501
8121400,431410,-1,202501
8121400,431410,1,202501
8121400,431410,-1,202501
8020001,432090,-1,202501
8111700,432255,1,202501
8129000,431410,-1,202501
8121400,431265,-1,202501
8121400,431410,1,202501
8121400,431410,-1,202501
8121400,431410,1,202501
8121400,431410,1,202501
3811400,432340,-1,202501
8121400,431410,-1,202501
8020001,431410,-1,202501
8121400,431410,-1,202501
8020001,431370,1,202501
3811400,432340,1,202501
8121400,431410,1,202501
8121400,431410,1,202501
8020001,432090,1,202501
8121400,431410,1,202501
8121400,431410,1,202501
8121400,431410,-1,202501
3811400,431410,1,202501
8121400,431265,1,202501
8020001,432090,-1,202501
8020001,431410,1,202501
8121400,431410,1,202501
8129000,431410,1,202501
8111700,431410,1,202501
8121400,431410,-1,202501
3811400,432340,1,202501
8121400,431410,1,202501
8111700,432340,-1,202501
8121400,431410,-1,202501
8121400,431265,1,202501
8121400,431410,1,202501
8121400,431410,-1,202501
8121400,431265,1,202501
8121400,431410,-1,202501
8121400,431265,1,202501
8121400,431410,1,202501
8121400,431410,-1,202501
8121400,431410,-1,202501
8121400,431410,1,202501
3811400,431410,1,202501
8121400,431410,-1,202501
8121400,431410,1,202501
3811400,432185,1,202501
8121400,431410,-1,202501
8121400,431410,1,202501
8121400,431410,1,202501
8111700,431410,1,202501
8121400,431410,1,202501
8129000,431410,-1,202501
3811400,431370,-1,202501
8020001,431410,1,202501
8121400,431410,1,202501
8121400,431410,-1,202501
8121400,431410,1,202501
8129000,431410,-1,202501
8130300,432340,1,202501
8121400,431265,1,202501
8121400,431410,1,202501
8121400,431410,-1,202501
8121400,431265,1,202501
8129000,431410,-1,202501
8020001,432090,1,202501
8121400,431410,-1,202501
8121400,431265,-1,202501
8121400,431410,-1,202501
8111700,431410,-1,202501
8111700,431410,-1,202501
8121400,431410,-1,202501
8121400,431410,1,202501
8121400,431410,-1,202501
8121400,431410,1,202501
8121400,431410,1,202501
8121400,431410,1,202501
8130300,432340,-1,202501
8111700,431410,1,202501
8121400,431410,1,202501
8121400,431410,-1,202501
8121400,431410,1,202501
8121400,431410,1,202501
8130300,432340,1,202501
8121400,431410,-1,202501
8129000,431410,1,202501
8020001,431410,1,202501
8130300,432340,-1,202501
8020001,431660,1,202501
8121400,431265,-1,202501
8121400,431410,-1,202501
8129000,431410,1,202501
8121400,431410,1,202501
8121400,431410,1,202501
8129000,431410,1,202501
8121400,431410,-1,202501
3811400,432340,1,202501
8121400,431410,-1,202501
8129000,431410,1,202501
3811400,431410,1,202501
8121400,431410,-1,202501
8121400,431265,1,202501
8121400,431265,1,202501
8121400,431410,-1,202501
8121400,431410,1,202501
8121400,431265,-1,202501
8121400,431265,-1,202501
8121400,431265,-1,202502
3811400,432340,1,202502
8121400,431410,1,202502
8020001,432090,1,202502
8121400,431410,1,202502
8121400,431410,-1,202502
3811400,432340,1,202502
8121400,431265,1,202502
8111700,431410,1,202502
8121400,431410,-1,202502
8129000,431410,-1,202502
8130300,432340,-1,202502
8121400,431410,-1,202502
8020001,431410,-1,202502
8121400,431410,-1,202502
8121400,431410,1,202502
3811400,432340,1,202502
8020001,431410,-1,202502
8121400,431410,1,202502
8020001,431410,1,202502
8121400,431410,1,202502
3811400,432340,1,202502
8121400,431265,1,202502
8121400,431410,-1,202502
3811400,432185,-1,202502
8121400,431410,-1,202502
3811400,431370,-1,202502
8121400,431410,1,202502
8121400,431410,1,202502
3811400,431410,-1,202502
3811400,432340,1,202502
8121400,431410,1,202502
8121400,431410,-1,202502
8121400,431265,-1,202502
8121400,431410,1,202502
8020001,431410,-1,202502
8121400,431410,-1,202502
8121400,431410,-1,202502
8121400,431410,-1,202502
8121400,431265,-1,202502
8121400,431410,1,202502
8121400,431410,1,202502
3811400,431410,-1,202502
8129000,431410,-1,202502
8121400,431265,1,202502
8121400,431410,1,202502
8121400,431265,1,202502
8121400,431410,1,202502
8020001,432090,-1,202502
8121400,431410,-1,202502
8121400,431410,1,202502
8121400,431410,1,202502
8121400,431410,-1,202502
8121400,431410,-1,202502
8129000,431410,1,202502
3811400,432340,1,202502
8121400,431410,1,202502
8121400,431410,-1,202502
8111700,431410,1,202502
3811400,432340,1,202502
8121400,431410,1,202502
8121400,431265,-1,202502
8121400,431410,1,202502
8121400,431410,-1,202502
8121400,431410,-1,202502
8121400,431410,1,202502
8121400,431410,-1,202502
8121400,431410,1,202502
8121400,431410,-1,202502
8121400,431410,-1,202502
3821100,432040,1,202502
8121400,431265,1,202502
8111700,431410,1,202502
3811400,432340,-1,202502
8111700,431410,-1,202502
8121400,431410,1,202502
8121400,431410,1,202502
8121400,431410,1,202502
8121400,431410,1,202502
8129000,431410,1,202502
8129000,431410,-1,202502
8121400,431410,1,202502
8121400,431410,1,202502
8121400,431410,1,202502
8121400,431410,1,202502
8020001,431410,1,202502
8121400,431410,1,202502
8129000,431410,1,202502
8121400,431410,1,202502
3811400,432340,1,202502
8121400,431265,-1,202502
8121400,431410,-1,202502
3811400,431370,1,202502
8111700,432010,1,202502
8121400,431410,1,202502
8121400,431410,1,202502
3811400,432340,1,202502
8121400,431410,1,202502
8111700,431410,-1,202502
8121400,431410,-1,202502
8111700,431410,1,202502
3811400,431410,-1,202502
8121400,431410,1,202502
8111700,431410,-1,202502
8121400,431410,1,202502
8121400,431410,1,202502
8121400,431410,1,202502
8129000,431410,-1,202502
3811400,432340,-1,202502
8121400,431410,-1,202502
3811400,431370,-1,202502
3811400,432340,1,202502
3811400,432340,1,202502
8020001,432090,1,202502
3821100,432040,-1,202502
8129000,431410,-1,202502
8130300,432340,1,202502
8121400,431410,-1,202502
8129000,431410,-1,202502
8129000,431410,-1,202502
8121400,431265,-1,202502
8121400,431410,1,202502
8129000,431410,1,202502
8121400,431410,1,202502
8121400,431410,-1,202502
3811400,432340,1,202502
3821100,432040,1,202502
8121400,431410,1,202502
3811400,432340,1,202502
8121400,431410,1,202502
8129000,431410,-1,202502
8121400,431410,1,202502
8129000,431410,1,202502
8121400,431410,-1,202502
8121400,431410,-1,202502
8121400,431410,-1,202502
8121400,431265,1,202502
8121400,431265,-1,202502
3811400,432340,1,202502
8020001,431410,1,202502
8121400,431265,1,202502
3811400,431410,1,202502
8121400,431410,-1,202502
3811400,431670,1,202502
8020001,431410,-1,202502
3811400,432340,1,202502
3812200,432290,-1,202502
8121400,431410,1,202502
8121400,431410,-1,202502
8121400,431410,1,202502
3811400,432340,1,202502
8121400,431265,1,202502
3811400,432340,1,202502
8121400,431410,1,202502
8129000,431410,1,202502
8121400,431265,1,202502
8130300,432340,1,202502
8121400,431410,1,202502
8121400,431410,1,202502
8121400,431410,-1,202502
8129000,431410,1,202502
8121400,431265,-1,202502
8121400,431265,1,202502
3811400,431410,1,202502
8121400,432090,-1,202502
8121400,431410,-1,202502
8121400,431265,1,202502
8121400,431410,-1,202502
8121400,431265,-1,202502
8121400,431410,-1,202502
3811400,432340,1,202502
8121400,431410,-1,202502
8121400,431410,-1,202502
8121400,431265,1,202502
8121400,431410,-1,202502
8111700,431410,1,202502
8121400,431410,1,202502
8121400,431410,-1,202502
8111700,431410,1,202502
8121400,431410,1,202502
8121400,431410,1,202502
3811400,432340,1,202502
8121400,431410,-1,202502
8129000,431410,1,202502
8121400,431410,-1,202502
3811400,432340,-1,202502
8111700,432010,1,202502
8020001,431370,1,202502
8121400,431410,-1,202502
8121400,431410,1,202502
3811400,432340,1,202502
8121400,431410,1,202502
8121400,431410,1,202502
8129000,431410,1,202502
8121400,431265,1,202502
8121400,431410,-1,202502
3811400,432340,-1,202502
8121400,431410,1,202502
8129000,431410,-1,202502
8121400,431410,-1,202502
8121400,431410,1,202502
8121400,431410,-1,202502
8111700,431410,-1,202502
8121400,431410,1,202502
8130300,432340,1,202502
8121400,431410,-1,202502
8121400,431410,-1,202502
8121400,431410,-1,202502
8121400,431410,-1,202502
8121400,431410,-1,202502
8121400,431410,-1,202502
8111700,432010,1,202502
8129000,431410,-1,202502
8129000,431410,1,202502
8121400,431410,-1,202502
3811400,432340,1,202502
8121400,431410,-1,202502
8121400,431410,1,202502
8121400,431410,-1,202502
8129000,431410,-1,202502
3811400,432340,1,202502
3821100,432040,1,202502
8121400,431410,-1,202502
3811400,432340,1,202502
3811400,431370,1,202502
8121400,431265,1,202502
8121400,431410,-1,202502
8121400,431410,1,202502
8020001,432090,-1,202502
8121400,431410,1,202502
8121400,431410,1,202502
8121400,431410,-1,202502
8111700,431410,1,202502
8121400,431410,-1,202502
3811400,432340,-1,202502
3811400,432340,1,202502
3811400,431370,1,202502
3811400,432340,-1,202502
3811400,432340,-1,202502
3811400,432340,1,202502
8121400,431410,-1,202502
8121400,431410,-1,202502
8121400,431410,-1,202502
8121400,431410,-1,202502
8121400,431265,-1,202502
8121400,431410,1,202502
8121400,431410,1,202502
8121400,431410,1,202502
3811400,432340,1,202502
8121400,431410,-1,202502
8121400,431410,-1,202502
8121400,431410,1,202502
3811400,432340,-1,202502
8121400,431265,1,202502
8121400,431410,-1,202502
8121400,431410,-1,202502
8121400,431265,1,202502
8020001,432090,-1,202502
8121400,431265,1,202502
8020001,432090,1,202502
8121400,431265,1,202502
8121400,431410,1,202502
3811400,432340,-1,202502
8121400,431410,-1,202502
3811400,432340,-1,202502
3821100,432040,1,202502
8121400,431265,-1,202502
8130300,432340,-1,202502
3811400,432340,-1,202502
8121400,431410,1,202502
8129000,432090,-1,202502
8129000,431410,-1,202502
3811400,432340,1,202502
8129000,431410,1,202502
8020001,431370,-1,202502
8020001,431410,-1,202502
3811400,432340,1,202502
3811400,432185,1,202502
3811400,432340,1,202502
3811400,432340,1,202502
8121400,431410,1,202502
8020001,432090,1,202502
8130300,432340,-1,202502
8121400,431265,1,202502
3811400,432340,-1,202502
3811400,432340,-1,202502
3811400,432340,1,202502
8121400,431265,1,202502
8129000,431410,-1,202502
8121400,431410,1,202502
8020001,431410,1,202502
3811400,432340,-1,202502
8121400,431410,1,202502
8129000,431410,1,202502
8121400,431410,1,202502
