subclasse,municipio,saldomovimentacao,competenciamov
3811400,431370,1,202601
8111700,431410,-1,202601
8130300,432340,1,202601
8121400,431265,1,202601
3811400,432340,1,202601
8121400,431410,1,202601
8121400,431410,-1,202601
3811400,432340,1,202601
3821100,432320,1,202601
3811400,432340,1,202601
8121400,431410,1,202601
8121400,431410,1,202601
8121400,431265,-1,202601
3811400,432340,1,202601
8121400,431410,1,202601
8020001,431410,1,202601
8121400,431410,-1,202601
8121400,431410,-1,202601
8121400,431410,1,202601
8129000,431410,1,202601
8020001,431660,1,202601
3811400,432340,1,202601
8111700,431410,-1,202601
3811400,432340,1,202601
8121400,431410,1,202601
8121400,431410,-1,202601
8121400,431410,1,202601
3821100,432040,1,202601
8121400,431410,1,202601
8121400,431410,-1,202601
8121400,431265,1,202601
8121400,431265,1,202601
8121400,431410,-1,202601
3811400,431370,-1,202601
3811400,432340,1,202601
8121400,431265,1,202601
8121400,431265,1,202601
8020001,431660,1,202601
3811400,432340,1,202601
3811400,432340,1,202601
8121400,431410,1,202601
8121400,431410,1,202601
3811400,432340,1,202601
8121400,431410,-1,202601
3811400,432340,1,202601
8121400,431265,1,202601
3811400,432340,-1,202601
3811400,431410,-1,202601
8121400,431265,1,202601
3821100,432320,1,202601
8121400,431410,1,202601
8121400,431410,-1,202601
3811400,432340,1,202601
3811400,432340,1,202601
8129000,431410,1,202601
8121400,431410,-1,202601
8121400,431265,1,202601
8121400,431410,1,202601
8121400,431410,1,202601
3811400,432340,1,202601
3811400,431370,1,202601
8129000,431410,1,202601
8121400,431410,-1,202601
8121400,431410,-1,202601
8121400,431410,1,202601
8121400,432090,-1,202601
8121400,431410,-1,202601
8020001,431410,1,202601
8121400,431265,1,202601
8121400,431410,1,202601
8121400,431410,-1,202601
8020001,431410,-1,202601
8121400,431410,1,202601
8121400,431265,1,202601
8020001,431410,-1,202601
8121400,431410,1,202601
3811400,432340,-1,202601
8121400,431410,-1,202601
8130300,432340,-1,202601
3811400,432340,1,202601
8121400,431410,1,202601
3811400,432340,1,202601
3811400,432340,-1,202601
8129000,431410,-1,202601
3811400,432340,1,202601
8121400,431410,1,202601
3821100,432040,1,202601
8020001,431410,-1,202601
8121400,431410,1,202601
8121400,431410,1,202601
8020001,431410,-1,202601
8020001,431410,-1,202601
8121400,431410,1,202601
8111700,431410,-1,202601
8121400,431410,-1,202601
3811400,432340,1,202601
8121400,431410,1,202601
8121400,431410,1,202601
8121400,431410,-1,202601
8121400,431410,1,202601
8121400,431410,-1,202601
8020001,431410,1,202601
3811400,432340,1,202601
8121400,431265,-1,202601
8111700,431410,1,202601
8129000,431410,-1,202601
8121400,431265,1,202601
8121400,431410,-1,202601
8121400,431265,1,202601
8121400,431410,-1,202601
3811400,432340,1,202601
8121400,431265,1,202601
3811400,432340,1,202601
8121400,431410,1,202601
8121400,431410,1,202601
8121400,431410,-1,202601
8121400,431410,-1,202601
8121400,431265,1,202601
8111700,431410,1,202601
8121400,431265,1,202601
3811400,432340,1,202601
8121400,431410,1,202601
8121400,431265,1,202601
3821100,432320,1,202601
8121400,431265,1,202601
8121400,431265,1,202601
8020001,431410,1,202601
8129000,432090,1,202601
3811400,432340,-1,202601
8121400,431265,1,202601
8111700,431410,-1,202601
8129000,431410,1,202601
3811400,431370,1,202601
8121400,431410,1,202601
8121400,431410,-1,202601
8129000,431410,1,202601
8121400,431265,1,202601
8121400,431410,1,202601
8121400,431410,-1,202601
8121400,431410,1,202601
3811400,431370,-1,202601
8121400,431410,1,202601
8020001,431660,-1,202601
8020001,431410,-1,202601
8129000,432090,1,202601
3821100,432320,-1,202601
8121400,431410,-1,202601
8121400,431265,1,202601
8020001,432090,-1,202601
8111700,431410,1,202601
3811400,432340,1,202601
8020001,432090,1,202601
8121400,431410,-1,202601
3811400,432340,1,202601
8020001,432090,-1,202601
8121400,431410,-1,202601
8121400,431410,-1,202601
8121400,431410,-1,202601
8121400,431410,-1,202601
3811400,432340,1,202601
3811400,431370,-1,202601
3811400,432340,1,202601
8121400,431410,1,202601
8121400,431410,1,202601
8121400,431410,1,202601
8121400,431410,-1,202601
8129000,431410,-1,202601
3811400,432340,1,202601
3811400,432340,-1,202601
8020001,432090,1,202601
8121400,431410,-1,202601
8121400,431265,1,202601
3821100,432040,1,202601
3811400,432340,1,202601
8020001,431410,1,202601
8121400,431265,1,202601
8121400,431265,1,202601
3811400,432340,-1,202601
3811400,432340,1,202601
8121400,431265,1,202601
8130300,432340,-1,202601
8020001,431370,1,202601
8129000,431410,1,202601
3811400,432340,1,202601
3811400,432340,1,202601
8111700,431410,-1,202601
8129000,431410,-1,202601
8121400,431410,1,202601
3811400,431410,1,202601
3811400,432340,1,202601
8121400,431265,1,202601
8129000,431410,-1,202601
3811400,432340,1,202601
3811400,432340,1,202601
8111700,431410,1,202601
8121400,431265,1,202601
3811400,432340,-1,202601
3811400,432340,1,202601
8129000,431410,1,202601
3811400,431370,1,202601
8020001,432090,1,202601
8121400,431410,-1,202601
8121400,431410,-1,202601
3811400,431370,-1,202601
8121400,431265,1,202601
8121400,431410,1,202601
3821100,432320,1,202601
8020001,431370,-1,202601
3811400,432340,1,202601
