ano;SERVIÇOS COMBNADOS PARA APOIO A EDIFÍCIOS, EXCETO CONDOMÍNIOS PREDIAIS;LIMPEZA EM PRÉDIOS E DOMICÍLIOS;ATIVIDADES DE LIMPEZA NÃO ESPECIFICADAS ANTERIORMENTE;UNIDADES DOMICILIARES QUE CONTRATAM EMPREGADOS DOMÉSTICOS PARA PRESTAÇÃO DE SERVIÇOS DE CAMAREIRO DOMÉSTICO;OPERAÇÃO DE DEPÓSITOS DE LIXO E ATERROS SANITÁRIOS PARA DISPOSIÇÃO DE RESÍDUOS NÃO-PERIGOSOS;MONITORAMENTO DE EQUIPAMENTOS DE SEGURANÇA COM A VENDA, INSTALAÇÃO E MANUTENÇÃO ASSOCIADAS;SERVIÇOS DE LIMPEZA URBANA, EXCETO GESTÃO DE ATERROS SANITÁRIOS;SERVIÇOS DE PAISAGISMO, LIMPEZA, MANUTENÇÃO, PLANTIO DE JARDINS;ATIVIDADE DE COMBATE E CONTROLE DE PRAGAS URBANAS;OBTENÇÃO DE COMPOSTOS ORGÂNICOS PARA FERTILIZAÇÃO DO SOLO A PARTIR DE PROCESSO DE DEGRADAÇÃO BIOLÓGICA DE RESÍDUOS ORGÂNICOS (RESTOS DE ALIMENTOS, ESTERCOS ANIMAIS, RESTOS DE CULTURAS AGRÍCOLAS);COLETA DE RESÍDUOS PERIGOSOS QUALQUER ESTADO FÍSICO (SÓLIDO, LÍQUIDO, PASTOSO, GRANULADO);total_vinculos
2021;97;657;874;0;40;126;336;7;27;0;30;2194
2022;217;659;1225;0;38;161;311;15;32;0;28;2686
2023;189;788;303;1;48;231;284;11;34;1;24;1914
2024;190;919;319;0;56;221;322;30;42;2;26;2127
2025;195;900;322;2;57;242;346;32;39;2;25;2162
2026;199;984;319;2;61;244;377;33;42;2;26;2289
