ano;SERVIÇOS COMBNADOS PARA APOIO A EDIFÍCIOS, EXCETO CONDOMÍNIOS PREDIAIS;LIMPEZA EM PRÉDIOS E DOMICÍLIOS;ATIVIDADES DE LIMPEZA NÃO ESPECIFICADAS ANTERIORMENTE;UNIDADES DOMICILIARES QUE CONTRATAM EMPREGADOS DOMÉSTICOS PARA PRESTAÇÃO DE SERVIÇOS DE CAMAREIRO DOMÉSTICO;OPERAÇÃO DE DEPÓSITOS DE LIXO E ATERROS SANITÁRIOS PARA DISPOSIÇÃO DE RESÍDUOS NÃO-PERIGOSOS;MONITORAMENTO DE EQUIPAMENTOS DE SEGURANÇA COM A VENDA, INSTALAÇÃO E MANUTENÇÃO ASSOCIADAS;SERVIÇOS DE LIMPEZA URBANA, EXCETO GESTÃO DE ATERROS SANITÁRIOS;SERVIÇOS DE PAISAGISMO, LIMPEZA, MANUTENÇÃO, PLANTIO DE JARDINS;ATIVIDADE DE COMBATE E CONTROLE DE PRAGAS URBANAS;OBTENÇÃO DE COMPOSTOS ORGÂNICOS PARA FERTILIZAÇÃO DO SOLO A PARTIR DE PROCESSO DE DEGRADAÇÃO BIOLÓGICA DE RESÍDUOS ORGÂNICOS (RESTOS DE ALIMENTOS, ESTERCOS ANIMAIS, RESTOS DE CULTURAS AGRÍCOLAS);COLETA DE RESÍDUOS PERIGOSOS QUALQUER ESTADO FÍSICO (SÓLIDO, LÍQUIDO, PASTOSO, GRANULADO);total_vinculos
2021;12586;17863;4454;59;439;3724;2241;957;421;161;284;43189
2022;13190;17601;5065;95;290;5066;2066;984;532;174;375;45438
2023;14984;15093;2705;75;366;5979;3532;1034;559;180;235;44742
2024;15925;14390;3576;97;421;5907;3839;1107;582;196;283;46323
2025;16353;14840;4313;109;451;6052;4002;1164;601;207;356;48448
2026;16760;15667;4660;124;467;6031;3975;1157;624;218;372;50055
