ano;SERVIÇOS COMBNADOS PARA APOIO A EDIFÍCIOS, EXCETO CONDOMÍNIOS PREDIAIS;LIMPEZA EM PRÉDIOS E DOMICÍLIOS;ATIVIDADES DE LIMPEZA NÃO ESPECIFICADAS ANTERIORMENTE;UNIDADES DOMICILIARES QUE CONTRATAM EMPREGADOS DOMÉSTICOS PARA PRESTAÇÃO DE SERVIÇOS DE CAMAREIRO DOMÉSTICO;OPERAÇÃO DE DEPÓSITOS DE LIXO E ATERROS SANITÁRIOS PARA DISPOSIÇÃO DE RESÍDUOS NÃO-PERIGOSOS;MONITORAMENTO DE EQUIPAMENTOS DE SEGURANÇA COM A VENDA, INSTALAÇÃO E MANUTENÇÃO ASSOCIADAS;SERVIÇOS DE LIMPEZA URBANA, EXCETO GESTÃO DE ATERROS SANITÁRIOS;SERVIÇOS DE PAISAGISMO, LIMPEZA, MANUTENÇÃO, PLANTIO DE JARDINS;ATIVIDADE DE COMBATE E CONTROLE DE PRAGAS URBANAS;OBTENÇÃO DE COMPOSTOS ORGÂNICOS PARA FERTILIZAÇÃO DO SOLO A PARTIR DE PROCESSO DE DEGRADAÇÃO BIOLÓGICA DE RESÍDUOS ORGÂNICOS (RESTOS DE ALIMENTOS, ESTERCOS ANIMAIS, RESTOS DE CULTURAS AGRÍCOLAS);COLETA DE RESÍDUOS PERIGOSOS QUALQUER ESTADO FÍSICO (SÓLIDO, LÍQUIDO, PASTOSO, GRANULADO);total_vinculos
2021;244;512;4826;2;26;197;111;12;43;0;79;6052
2022;427;498;5384;2;27;319;114;12;38;0;21;6842
2023;495;509;5235;5;39;354;129;18;7;0;18;6809
2024;369;560;5583;3;41;374;204;17;5;0;13;7169
2025;389;547;5273;4;45;382;192;15;6;0;11;6864
2026;388;555;5519;5;46;383;198;15;6;0;11;7126
