subclasse,municipio,saldomovimentacao,competenciamov
3811400,430210,-1,202601
8111700,430210,-1,202601
8111700,430480,1,202601
3811400,430510,-1,202601
3811400,431400,1,202601
3811400,430510,-1,202601
8129000,430860,1,202601
8121400,430510,-1,202601
8111700,430510,1,202601
8111700,430210,-1,202601
3839401,431860,-1,202601
3811400,430510,1,202601
8130300,432280,1,202601
3811400,431400,1,202601
3811400,430510,-1,202601
8121400,430860,1,202601
8020001,430510,-1,202601
8129000,432280,-1,202601
8121400,430510,-1,202601
8121400,430510,1,202601
8111700,430510,-1,202601
8020001,432250,1,202601
8129000,430510,1,202601
8111700,430510,1,202601
8020001,430790,1,202601
8111700,430210,-1,202601
8121400,430510,1,202601
8111700,430480,1,202601
8111700,430210,1,202601
8121400,430860,1,202601
8121400,432250,1,202601
8111700,430510,-1,202601
8121400,430510,1,202601
8121400,432350,-1,202601
3811400,430210,1,202601
8121400,430510,-1,202601
8121400,430210,-1,202601
8111700,430210,-1,202601
3811400,430790,-1,202601
8111700,430480,1,202601
8020001,430210,1,202601
3811400,430210,-1,202601
8121400,430210,-1,202601
8121400,430510,1,202601
8121400,430860,1,202601
8020001,430510,-1,202601
8121400,430510,1,202601
8121400,430510,-1,202601
8129000,432280,1,202601
8121400,430510,1,202601
8129000,430860,1,202601
8121400,430210,-1,202601
8111700,430480,-1,202601
3811400,430510,-1,202601
3811400,430510,1,202601
3811400,430510,1,202601
8020001,430210,-1,202601
8121400,430480,1,202601
8121400,430510,1,202601
3811400,431400,1,202601
8121400,431330,1,202601
8130300,430510,-1,202601
3811400,431330,-1,202601
8111700,430510,1,202601
3811400,430210,-1,202601
3811400,431400,-1,202601
8129000,430480,-1,202601
3811400,430510,-1,202601
8121400,430210,1,202601
8121400,430510,1,202601
8121400,432250,1,202601
8121400,430480,-1,202601
8020001,430510,1,202601
8121400,430510,1,202601
8111700,430510,-1,202601
8111700,430210,1,202601
8111700,430480,-1,202601
8111700,430210,-1,202601
8121400,430510,-1,202601
8121400,430480,-1,202601
3811400,430790,-1,202601
8121400,430210,-1,202601
8121400,430510,-1,202601
8020001,432250,1,202601
8121400,430210,1,202601
