subclasse,municipio,saldomovimentacao,competenciamov
3811400,431400,1,202501
8121400,430510,1,202501
8121400,430510,-1,202501
8129000,430480,-1,202501
8111700,430210,1,202501
8111700,430510,1,202501
8111700,430510,-1,202501
8121400,430860,-1,202501
8121400,430860,1,202501
8121400,430860,-1,202501
8121400,430510,1,202501
8121400,430480,-1,202501
8121400,430510,-1,202501
3811400,430210,-1,202501
8129000,430480,-1,202501
8111700,430480,-1,202501
8129000,430510,1,202501
8020001,430790,1,202501
8129000,430510,-1,202501
8121400,430510,-1,202501
8111700,430210,1,202501
8111700,430790,-1,202501
3812200,430510,1,202501
8121400,430510,1,202501
8129000,430860,-1,202501
8121400,430480,1,202501
8111700,430790,1,202501
8111700,430510,-1,202501
8121400,430510,-1,202501
8121400,430860,-1,202501
8121400,430480,-1,202501
8121400,430860,-1,202501
8111700,430510,-1,202501
3811400,430790,-1,202501
8111700,430510,-1,202501
8111700,430510,-1,202501
8129000,430480,1,202501
8121400,430510,1,202501
8121400,430510,-1,202501
8121400,430510,-1,202501
8121400,431517,1,202501
8121400,430510,-1,202501
8020001,431330,-1,202501
8121400,430860,-1,202501
8020001,430510,-1,202501
8121400,430480,-1,202501
3811400,430790,-1,202501
8121400,430510,1,202501
8020001,431130,-1,202501
8111700,430210,-1,202501
8121400,430210,1,202501
3811400,430790,1,202501
8111700,430790,1,202501
8121400,430820,1,202501
3811400,430510,1,202501
3811400,430510,1,202501
8121400,430510,-1,202501
3811400,430510,1,202501
8121400,430510,1,202501
8121400,430510,-1,202501
8129000,430860,1,202501
3811400,430210,1,202501
8121400,430860,1,202501
8121400,430480,-1,202501
8111700,430510,-1,202501
8111700,430790,-1,202501
8111700,432250,-1,202501
8121400,430510,-1,202501
8121400,430510,-1,202501
8121400,430510,1,202501
8111700,430510,1,202501
8121400,430510,1,202501
8121400,430210,1,202501
8020001,430790,-1,202501
8121400,430480,1,202501
3811400,430210,1,202501
3811400,430510,1,202501
8121400,430510,1,202501
3811400,431400,-1,202501
8121400,430510,-1,202501
8121400,430510,-1,202501
8121400,430480,-1,202501
8020001,430510,-1,202501
8111700,430510,-1,202501
8111700,430510,-1,202501
3811400,430790,-1,202501
8111700,430510,-1,202501
8121400,430510,1,202501
8121400,430860,1,202501
8111700,430510,-1,202501
8121400,430510,1,202501
8111700,430510,-1,202501
8129000,430860,1,202501
8121400,430510,-1,202501
8111700,430510,-1,202501
8111700,430510,1,202501
3811400,430510,1,202501
8121400,430210,1,202501
3811400,431400,1,202501
3811400,430790,1,202501
8111700,430210,1,202501
3811400,431400,1,202501
8111700,430510,1,202501
8121400,430510,-1,202501
8129000,430860,1,202501
8121400,430210,1,202501
8129000,430860,-1,202501
8121400,430510,1,202501
8111700,430510,-1,202501
3811400,430510,-1,202501
8121400,430510,-1,202501
8121400,430510,1,202501
8111700,430210,1,202501
8111700,430510,1,202501
8121400,430510,-1,202501
8121400,430480,-1,202501
8121400,430510,1,202501
8111700,430510,1,202501
8121400,430210,1,202501
8121400,430510,1,202501
8111700,430510,-1,202501
8121400,430510,1,202501
8121400,430510,1,202501
8121400,430510,-1,202501
8121400,430210,-1,202501
8129000,430510,-1,202501
8121400,430480,-1,202501
8121400,430510,1,202501
3811400,430510,1,202501
3811400,430510,-1,202501
8121400,430510,1,202501
8121400,430510,-1,202501
8129000,430480,1,202501
3811400,430510,1,202501
8111700,430210,1,202501
8121400,430860,-1,202501
8020001,430510,-1,202501
8121400,430510,1,202501
3811400,430210,-1,202501
3811400,430210,-1,202501
8121400,432250,-1,202501
8111700,430510,1,202501
8111700,430210,1,202501
3811400,430210,1,202501
8121400,430510,1,202501
8129000,430860,1,202501
8121400,430510,1,202501
8121400,430510,1,202501
8121400,430820,1,202501
3811400,430790,-1,202501
8121400,430510,1,202501
8121400,430510,-1,202501
3811400,431400,-1,202501
8121400,430510,1,202501
3811400,430790,1,202501
8121400,430210,1,202501
8121400,430510,1,202501
8111700,430510,1,202501
8111700,430480,-1,202501
8121400,430510,-1,202501
8121400,430480,-1,202501
8111700,430210,1,202501
8121400,430510,1,202501
8121400,430510,-1,202501
8020001,430210,1,202501
8121400,430510,-1,202501
8121400,430510,1,202501
8020001,430510,1,202501
8121400,430210,-1,202501
8121400,430860,1,202501
8121400,430510,-1,202501
8111700,430510,-1,202501
8111700,430510,1,202501
8121400,430510,1,202501
8121400,430790,1,202501
8122200,430510,1,202501
8121400,430480,-1,202501
8121400,430510,1,202501
8121400,430510,1,202501
3811400,430510,1,202501
8121400,430510,-1,202501
3811400,430510,1,202501
8111700,430510,-1,202501
8121400,430510,1,202501
8121400,430210,1,202501
8129000,430480,-1,202501
3811400,430510,1,202501
8129000,430860,1,202501
3811400,431400,1,202501
3811400,431400,1,202501
8121400,430510,1,202501
8129000,430510,-1,202501
8121400,430510,-1,202501
8121400,430510,1,202501
3811400,430510,1,202501
8129000,430860,1,202501
8111700,430210,-1,202501
8111700,430510,-1,202501
8121400,430480,1,202501
8129000,430510,1,202501
8129000,430510,-1,202501
8121400,430510,-1,202501
8121400,430480,-1,202501
8121400,430210,-1,202501
8129000,430510,1,202501
8121400,430510,1,202501
8121400,430790,1,202501
8121400,430510,1,202501
8129000,430860,1,202501
8111700,430790,1,202501
8020001,430210,-1,202501
3811400,430210,1,202501
8121400,430510,1,202501
8121400,430790,-1,202501
8121400,430510,-1,202501
8129000,430860,-1,202501
8129000,430510,-1,202501
8121400,430510,1,202501
8111700,430210,1,202501
8121400,430510,-1,202501
8111700,430510,-1,202501
3811400,431400,1,202501
8111700,430480,-1,202501
8111700,430480,1,202501
8121400,430480,1,202501
8121400,430210,1,202501
3811400,430510,-1,202501
8111700,430210,-1,202501
3811400,430790,1,202501
8020001,430210,1,202501
3811400,430510,1,202501
8111700,430210,1,202501
8121400,430210,1,202501
8020001,430510,1,202501
8129000,430860,-1,202501
8111700,430510,-1,202501
8121400,430510,1,202501
8121400,430210,-1,202501
8121400,430510,-1,202501
8121400,430210,-1,202501
8129000,430860,1,202501
8111700,430480,-1,202501
8020001,430510,-1,202501
8121400,430510,1,202501
8121400,430510,-1,202501
8111700,430510,-1,202501
8121400,430510,-1,202501
8121400,430860,-1,202501
8121400,430510,-1,202501
8129000,430480,-1,202501
3811400,430510,1,202501
8121400,430510,-1,202501
8111700,430790,1,202501
8129000,430860,-1,202501
8121400,430510,-1,202501
8111700,430510,-1,202501
8121400,430510,-1,202501
8121400,430510,-1,202501
8121400,430480,1,202501
8121400,430210,-1,202501
8129000,430860,-1,202501
8020001,430510,-1,202501
8121400,430210,-1,202501
8111700,430480,-1,202501
8129000,430860,-1,202501
8111700,430210,-1,202501
8020001,430990,1,202501
8121400,430860,1,202501
8111700,430510,-1,202501
8121400,430860,-1,202501
8129000,430860,-1,202501
8111700,430510,1,202501
3811400,431400,1,202501
8111700,432250,1,202501
8121400,430510,-1,202501
3811400,430210,1,202501
8121400,430210,-1,202501
8020001,430510,1,202501
8111700,430210,-1,202501
8121400,430510,1,202501
8020001,430510,1,202501
3811400,430790,-1,202501
8121400,430480,-1,202501
8020001,432250,-1,202501
8111700,430510,-1,202501
8129000,430510,-1,202501
8020001,430510,1,202501
8121400,430510,1,202501
8121400,430510,-1,202501
8121400,430480,1,202501
8111700,430480,-1,202501
8121400,432250,1,202501
8121400,430510,-1,202501
8111700,430510,-1,202501
8111700,430510,-1,202501
8121400,430210,1,202501
3811400,430510,-1,202501
3811400,430790,1,202501
8129000,430480,-1,202501
8121400,430510,-1,202501
3811400,430510,1,202501
8121400,430510,1,202501
8121400,430210,-1,202501
8111700,430790,-1,202501
8121400,430510,1,202501
8020001,430790,-1,202501
8111700,430480,1,202501
8111700,430480,-1,202501
8121400,430210,-1,202501
8121400,430510,1,202501
3811400,431400,1,202501
8121400,430510,1,202501
8020001,430510,-1,202501
8121400,430510,1,202501
8121400,430510,1,202501
8121400,430510,1,202501
8129000,430480,-1,202501
8111700,430510,1,202501
8121400,430510,1,202501
8121400,430510,-1,202501
8121400,430510,-1,202501
8111700,430510,-1,202501
8121400,430480,1,202501
8129000,430860,1,202501
8111700,430790,1,202501
8121400,430510,1,202501
8111700,430480,1,202501
8129000,430860,1,202501
8121400,430820,1,202501
3811400,430510,-1,202501
8111700,430210,-1,202501
3811400,431400,1,202501
8129000,430510,-1,202501
8111700,430510,1,202501
8111700,430510,1,202501
8121400,430510,-1,202501
8121400,430860,-1,202501
8020001,432250,-1,202501
8121400,430510,1,202501
8121400,430480,1,202501
8121400,430510,1,202501
8121400,430510,-1,202501
8121400,430210,-1,202501
8121400,430480,1,202501
3811400,430790,1,202501
3811400,431400,-1,202501
3811400,430510,1,202501
3811400,430510,1,202501
3811400,431400,-1,202501
8121400,430790,1,202501
8111700,430210,1,202501
3812200,430510,1,202501
8121400,430510,-1,202501
8121400,430510,-1,202501
8121400,430510,1,202501
8121400,430210,1,202501
8121400,430510,-1,202501
8121400,430480,1,202501
8121400,430510,1,202501
8121400,430210,1,202501
8121400,430510,-1,202501
8129000,430510,-1,202501
8111700,430510,1,202501
3811400,430790,1,202501
8020001,430510,1,202501
3811400,430510,1,202501
8121400,430510,1,202501
8111700,430210,1,202501
8121400,430210,-1,202501
8121400,430510,1,202501
8129000,430860,1,202501
8121400,430510,-1,202501
8121400,430210,1,202501
8121400,430510,-1,202501
8111700,430510,1,202501
3811400,430510,1,202501
8121400,430510,-1,202501
8121400,430510,1,202501
8121400,430510,-1,202501
8130300,430510,1,202501
8111700,430210,-1,202501
8129000,430480,-1,202501
3811400,431280,-1,202501
8121400,430510,1,202501
8111700,430510,1,202501
3811400,431400,1,202501
8121400,430510,1,202501
3811400,430510,1,202501
8121400,430860,1,202501
8020001,430210,-1,202501
8111700,430480,-1,202501
8111700,430480,-1,202501
3811400,431400,-1,202501
8111700,430210,-1,202501
8121400,430510,-1,202501
3811400,430510,1,202501
3811400,431400,1,202501
8121400,430210,-1,202501
8121400,430210,-1,202501
8121400,430510,1,202501
8121400,430480,-1,202501
8130300,430510,1,202501
8129000,430860,-1,202501
3839401,431860,1,202501
8111700,430210,-1,202501
3811400,431400,-1,202501
8121400,430510,-1,202501
8121400,430480,-1,202501
8121400,430510,1,202501
3811400,430510,-1,202501
8020001,430510,-1,202501
8121400,430510,1,202501
8111700,430480,1,202501
8111700,430480,1,202501
8111700,430510,1,202501
8111700,430510,-1,202501
8121400,430480,-1,202501
8111700,430480,-1,202501
8129000,430860,-1,202501
3811400,431400,1,202501
8121400,430480,-1,202501
3811400,430510,1,202501
3811400,430210,1,202501
8129000,430510,-1,202501
8121400,430510,1,202501
8121400,430210,-1,202501
3811400,430210,1,202501
8121400,430510,1,202501
3811400,430210,1,202501
8121400,430510,1,202501
8121400,430210,1,202501
8121400,430210,-1,202501
