cnae_fiscal;2021;2022;2023;2024;2025;2026;cnae
8111700;941;1201;1135;1052;1025;1053;SERVIÇOS COMBNADOS PARA APOIO A EDIFÍCIOS, EXCETO CONDOMÍNIOS PREDIAIS
8121400;2349;2306;2243;2013;1998;2029;LIMPEZA EM PRÉDIOS E DOMICÍLIOS
8129000;144;158;173;229;271;267;ATIVIDADES DE LIMPEZA NÃO ESPECIFICADAS ANTERIORMENTE
9700500;5;3;0;15;22;22;UNIDADES DOMICILIARES QUE CONTRATAM EMPREGADOS DOMÉSTICOS PARA PRESTAÇÃO DE SERVIÇOS DE CAMAREIRO DOMÉSTICO
3821100;0;0;0;5;6;7;OPERAÇÃO DE DEPÓSITOS DE LIXO E ATERROS SANITÁRIOS PARA DISPOSIÇÃO DE RESÍDUOS NÃO-PERIGOSOS
8020001;643;708;781;747;755;754;MONITORAMENTO DE EQUIPAMENTOS DE SEGURANÇA COM A VENDA, INSTALAÇÃO E MANUTENÇÃO ASSOCIADAS
3811400;1426;2053;2196;2253;2388;2356;SERVIÇOS DE LIMPEZA URBANA, EXCETO GESTÃO DE ATERROS SANITÁRIOS
8130300;51;57;52;52;64;65;SERVIÇOS DE PAISAGISMO, LIMPEZA, MANUTENÇÃO, PLANTIO DE JARDINS
8122200;47;47;46;49;54;61;ATIVIDADE DE COMBATE E CONTROLE DE PRAGAS URBANAS
3839401;0;14;11;11;12;14;OBTENÇÃO DE COMPOSTOS ORGÂNICOS PARA FERTILIZAÇÃO DO SOLO A PARTIR DE PROCESSO DE DEGRADAÇÃO BIOLÓGICA DE RESÍDUOS ORGÂNICOS (RESTOS DE ALIMENTOS, ESTERCOS ANIMAIS, RESTOS DE CULTURAS AGRÍCOLAS)
3812200;39;36;32;33;41;44;COLETA DE RESÍDUOS PERIGOSOS QUALQUER ESTADO FÍSICO (SÓLIDO, LÍQUIDO, PASTOSO, GRANULADO)
