subclasse,municipio,saldomovimentacao,competenciamov
8129000,432200,1,202501
8121400,430676,1,202501
8111700,430930,-1,202501
8121400,430930,-1,202501
8111700,430930,-1,202501
8111700,430930,1,202501
8129000,432200,-1,202501
8111700,432200,-1,202501
8121400,430676,-1,202501
8121400,430676,-1,202501
8121400,430676,1,202501
8129000,432200,1,202501
8121400,430930,-1,202501
8129000,432200,-1,202501
8129000,432200,1,202501
8129000,432200,1,202501
8129000,432200,1,202501
8129000,432200,-1,202501
8111700,432200,1,202501
8121400,430676,1,202501
8111700,430930,1,202501
8111700,430930,1,202501
8129000,430535,1,202501
8111700,431240,-1,202501
8111700,432200,1,202501
8121400,430676,1,202501
8111700,431240,1,202501
8129000,432200,1,202501
8111700,430930,-1,202501
8129000,432200,1,202501
8111700,430676,1,202501
8111700,430930,1,202501
8121400,430676,1,202501
8121400,430930,1,202501
8111700,431240,-1,202501
8129000,432200,1,202501
8111700,431240,1,202501
8121400,430676,-1,202501
8129000,432200,-1,202501
8111700,430930,1,202501
8111700,431240,1,202501
8129000,432200,1,202501
8121400,430676,1,202501
8111700,430930,1,202501
8129000,432200,1,202501
8121400,430676,-1,202501
8129000,432200,1,202501
8129000,432200,1,202501
8129000,432200,1,202501
8129000,432200,-1,202501
8129000,432200,1,202501
8121400,432200,-1,202501
8129000,432200,1,202501
8121400,430930,1,202501
8121400,430930,-1,202501
8111700,430930,1,202501
8111700,431240,-1,202501
8111700,430930,-1,202501
8121400,430676,1,202501
8129000,432200,1,202501
8121400,430930,1,202501
8121400,430676,-1,202501
8121400,430930,1,202501
8129000,432200,1,202501
8111700,431240,1,202501
8129000,432200,1,202501
8111700,430930,-1,202501
8129000,432200,1,202501
8111700,432200,1,202501
8121400,430676,-1,202501
8121400,430676,1,202501
8121400,430676,-1,202501
8111700,430930,1,202501
8129000,432200,-1,202501
8121400,430676,1,202501
8111700,430676,-1,202501
8129000,432200,-1,202501
8121400,430930,-1,202501
8121400,430676,-1,202501
8129000,432200,-1,202501
8121400,430676,-1,202501
8111700,430930,-1,202501
8121400,430930,-1,202501
8129000,432200,1,202501
8121400,430930,1,202501
8129000,432200,1,202501
8129000,432200,-1,202501
8129000,432200,1,202501
8129000,432200,1,202501
8111700,430930,1,202501
8121400,430676,-1,202501
8111700,431240,-1,202501
8129000,432200,-1,202501
8129000,430676,-1,202501
8129000,432200,-1,202501
8129000,430676,-1,202501
8111700,430930,1,202501
8121400,430930,1,202501
8121400,430930,-1,202501
8111700,432200,1,202501
8129000,432200,1,202501
8129000,432200,1,202501
8121400,430676,1,202501
8121400,430930,-1,202501
8111700,432200,-1,202501
8121400,430930,1,202501
8129000,432200,-1,202501
8121400,430930,1,202501
8121400,430930,-1,202501
8129000,432200,1,202501
8121400,430930,-1,202501
8111700,431240,-1,202501
8111700,431240,1,202501
8111700,432200,-1,202501
8121400,430676,-1,202501
8129000,432200,1,202501
8121400,430676,1,202501
8111700,430930,1,202501
8129000,432200,1,202501
8111700,430930,-1,202501
8111700,432200,1,202501
8121400,430930,-1,202501
8129000,430676,-1,202501
8129000,432200,1,202501
8129000,432200,1,202501
8129000,432200,1,202501
8111700,431240,1,202501
8129000,432200,1,202501
8121400,430930,1,202501
8111700,431240,1,202501
8121400,430930,1,202501
8129000,432200,1,202501
8121400,430676,-1,202501
8121400,430676,1,202501
8129000,432200,1,202501
8121400,430930,1,202501
8129000,432200,1,202501
8129000,432200,1,202501
8121400,430676,-1,202501
8121400,430930,1,202501
8129000,432200,-1,202501
8129000,432200,1,202501
8121400,430930,-1,202501
8121400,430676,1,202501
8129000,432200,1,202501
8129000,432200,1,202501
8111700,430930,1,202501
8121400,430676,-1,202501
8121400,430930,-1,202501
8121400,430930,1,202501
8121400,430676,-1,202501
8129000,432200,1,202501
8121400,430930,-1,202501
8129000,430676,-1,202501
8111700,430930,-1,202501
8121400,430930,1,202501
8129000,432200,1,202501
8111700,432200,-1,202501
8129000,432200,1,202501
8111700,430930,1,202501
8129000,432200,1,202501
8129000,432200,-1,202501
8121400,430930,1,202501
8121400,430930,1,202501
8111700,430930,-1,202501
8111700,431240,-1,202501
8121400,430930,1,202501
8129000,432200,-1,202501
8111700,430930,1,202501
8121400,430676,-1,202501
8121400,430930,-1,202501
8111700,430930,-1,202501
8121400,430930,1,202501
8111700,430930,1,202501
8129000,432200,-1,202501
8129000,432200,1,202501
8129000,432200,1,202501
8121400,430930,-1,202501
8121400,430930,-1,202501
8111700,430930,-1,202501
8121400,430676,1,202501
8129000,432200,1,202501
8111700,432200,1,202501
8121400,430930,-1,202501
8121400,430676,-1,202501
8129000,432200,1,202501
8129000,432200,-1,202501
8111700,430930,1,202501
8129000,432200,-1,202501
8111700,430930,1,202501
8121400,430676,-1,202501
8121400,430676,-1,202501
8129000,432200,1,202501
8129000,432200,-1,202501
8129000,432200,-1,202501
8121400,430676,1,202501
8111700,432200,-1,202501
8121400,430676,-1,202501
8121400,430930,1,202501
8121400,430676,1,202501
8121400,430930,-1,202501
8129000,432200,-1,202501
8121400,430930,-1,202501
8111700,432200,1,202501
8121400,430676,-1,202501
8129000,432200,1,202501
8111700,430930,1,202501
8129000,432200,1,202501
8129000,432200,1,202501
8111700,430930,1,202501
8111700,430930,1,202501
8111700,430930,1,202501
8111700,430930,1,202501
8129000,432200,-1,202501
8129000,432200,1,202501
8129000,432200,1,202501
8111700,431240,-1,202501
8129000,432200,-1,202501
8111700,432200,1,202501
8129000,432200,1,202501
8121400,430676,-1,202501
8111700,430930,1,202501
8129000,432200,1,202501
8111700,430930,-1,202501
8121400,430676,-1,202501
8129000,432200,-1,202501
8121400,430930,1,202501
8129000,432200,1,202501
8111700,430930,-1,202501
8111700,430930,-1,202501
8111700,431240,1,202501
8129000,432200,-1,202501
8129000,432200,1,202501
8121400,430676,-1,202501
8129000,432200,1,202501
8121400,430930,-1,202501
8129000,432200,1,202501
8129000,430676,-1,202501
8121400,430676,1,202501
8121400,430930,1,202501
8129000,432200,-1,202501
8129000,432200,1,202501
8121400,430676,-1,202501
8121400,430676,-1,202501
8111700,432200,1,202501
8129000,432200,1,202501
8121400,430930,1,202501
8129000,432200,-1,202501
8121400,430930,1,202501
8111700,430930,-1,202501
