subclasse,municipio,saldomovimentacao,competenciamov
8129000,432200,1,202601
8129000,432200,1,202601
8129000,432200,-1,202601
8111700,430930,-1,202601
8129000,432200,1,202601
8129000,432200,1,202601
8121400,430676,-1,202601
8111700,432200,-1,202601
8121400,430676,1,202601
8129000,432200,1,202601
8129000,432200,1,202601
8129000,432200,-1,202601
8111700,430930,1,202601
8129000,432200,-1,202601
8111700,430930,-1,202601
8129000,432200,1,202601
8129000,432200,1,202601
8111700,430930,-1,202601
8121400,430930,1,202601
8129000,432200,-1,202601
8129000,432200,-1,202601
8111700,431240,1,202601
8111700,430930,-1,202601
8121400,430676,-1,202601
8129000,432200,1,202601
8111700,430930,-1,202601
8129000,432200,-1,202601
8129000,432200,1,202601
8111700,430930,-1,202601
8129000,432200,1,202601
8129000,432200,1,202601
8111700,431240,-1,202601
8111700,432200,-1,202601
8111700,430930,1,202601
8121400,430930,1,202601
8129000,432200,1,202601
8111700,432200,1,202601
8121400,430676,1,202601
8111700,430930,1,202601
8111700,431240,1,202601
8129000,432200,1,202601
8111700,430930,-1,202601
8129000,430930,-1,202601
8121400,430930,1,202601
8121400,430676,1,202601
8111700,430930,-1,202601
8111700,430930,1,202601
8129000,432200,-1,202601
8111700,430930,1,202601
8129000,432200,1,202601
8111700,430930,1,202601
8111700,430930,-1,202601
8129000,432200,1,202601
8129000,432200,-1,202601
8129000,430930,1,202601
8111700,430676,1,202601
8111700,430930,-1,202601
8129000,432200,-1,202601
8111700,430676,-1,202601
8129000,432200,1,202601
8111700,432200,-1,202601
8111700,432200,1,202601
8129000,432200,1,202601
8111700,430930,1,202601
8111700,430930,1,202601
8129000,432200,1,202601
8129000,432200,-1,202601
8129000,432200,1,202601
8111700,430930,1,202601
8129000,432200,1,202601
8129000,432200,-1,202601
8129000,432200,1,202601
8111700,430930,-1,202601
8129000,432200,-1,202601
8111700,430930,-1,202601
8111700,430676,1,202601
8121400,430930,-1,202601
8129000,432200,1,202601
8121400,430676,1,202601
8111700,431240,-1,202601
8111700,430930,-1,202601
8129000,432200,-1,202601
8129000,432200,-1,202601
8129000,432200,1,202601
8121400,430676,1,202601
8111700,432200,1,202601
8129000,430930,1,202601
8111700,430930,1,202601
8111700,432200,1,202601
8129000,432200,1,202601
8129000,432200,1,202601
8129000,432200,-1,202601
8111700,430930,-1,202601
8111700,430930,-1,202601
8111700,430930,-1,202601
8121400,430676,1,202601
8129000,432200,1,202601
8121400,430930,1,202601
8129000,432200,-1,202601
8129000,432200,1,202601
8129000,430930,1,202601
8121400,430676,1,202601
8129000,430930,1,202601
8129000,432200,1,202601
8129000,430930,-1,202601
8129000,432200,-1,202601
8129000,430930,1,202601
8129000,432200,1,202601
8129000,432200,1,202601
8111700,431240,-1,202601
8129000,430930,1,202601
8129000,432200,1,202601
8129000,432200,1,202601
8121400,430676,1,202601
8129000,430930,-1,202601
8129000,430930,1,202601
8111700,431240,1,202601
8111700,430930,1,202601
8129000,432200,1,202601
8111700,431240,1,202601
8129000,432200,1,202601
8111700,431240,1,202601
8111700,432200,1,202601
8129000,432200,1,202601
8111700,431240,1,202601
8111700,431240,1,202601
8121400,430930,1,202601
8129000,430930,1,202601
8111700,430930,1,202601
8121400,430930,1,202601
8111700,431240,-1,202601
8129000,432200,-1,202601
8121400,430676,-1,202601
8129000,432200,1,202601
8111700,430930,-1,202601
8129000,432200,1,202601
8129000,430930,1,202601
8129000,432200,-1,202601
8111700,430930,-1,202601
8111700,431240,1,202601
8129000,432200,-1,202601
8121400,430930,1,202601
8111700,430930,-1,202601
8121400,430930,1,202601
8111700,430930,-1,202601
8129000,432200,1,202601
8129000,430930,1,202601
8129000,432200,1,202601
8111700,430930,-1,202601
8129000,432200,1,202601
