cnae_fiscal;2021;2022;2023;2024;2025;2026;cnae
8111700;1613;974;517;563;713;676;SERVIÇOS COMBNADOS PARA APOIO A EDIFÍCIOS, EXCETO CONDOMÍNIOS PREDIAIS
8121400;1408;1491;1621;1234;521;538;LIMPEZA EM PRÉDIOS E DOMICÍLIOS
8129000;1228;1758;782;1220;1403;1504;ATIVIDADES DE LIMPEZA NÃO ESPECIFICADAS ANTERIORMENTE
9700500;0;1;1;2;2;2;UNIDADES DOMICILIARES QUE CONTRATAM EMPREGADOS DOMÉSTICOS PARA PRESTAÇÃO DE SERVIÇOS DE CAMAREIRO DOMÉSTICO
