subclasse,municipio,saldomovimentacao,competenciamov
8121400,431680,1,202601
8121400,431680,1,202601
3811400,432260,1,202601
8111700,431680,1,202601
8020001,431680,1,202601
8129000,431140,1,202601
8121400,431680,1,202601
8111700,431680,1,202601
8130300,432145,-1,202601
8121400,430100,-1,202601
8121400,432260,-1,202601
8121400,431140,-1,202601
8121400,431140,1,202601
8111700,431680,1,202601
8129000,431140,1,202601
8020001,431680,-1,202601
8121400,431680,-1,202601
8111700,431680,-1,202601
8020001,431680,1,202601
8020001,431680,-1,202601
8130300,432145,-1,202601
8121400,431140,1,202601
8121400,431140,1,202601
8020001,431680,1,202601
8121400,431680,-1,202601
8111700,431680,1,202601
8111700,431205,1,202601
8130300,431140,-1,202601
8121400,431140,1,202601
8111700,432260,1,202601
8129000,431140,-1,202601
8121400,432260,-1,202601
8020001,431680,-1,202601
8121400,431140,-1,202601
8129000,431140,1,202601
8121400,431680,1,202601
8121400,431140,1,202601
8129000,431140,1,202601
8111700,431680,1,202601
8020001,431680,1,202601
3811400,430780,1,202601
8121400,431140,1,202601
8020001,431680,1,202601
8121400,432260,1,202601
8111700,431680,-1,202601
8129000,431140,-1,202601
8111700,431140,-1,202601
8121400,431140,1,202601
8121400,431140,1,202601
8121400,432260,1,202601
8020001,431680,1,202601
8121400,431140,-1,202601
8121400,431680,-1,202601
8121400,431140,1,202601
8020001,431140,-1,202601
8111700,431680,1,202601
8130300,431680,1,202601
8020001,431680,1,202601
8111700,431680,1,202601
8020001,430780,-1,202601
8121400,431680,-1,202601
8121400,431680,-1,202601
8121400,431680,-1,202601
8121400,431680,-1,202601
8129000,431140,-1,202601
8121400,431140,-1,202601
8121400,432260,-1,202601
8121400,432260,-1,202601
8020001,431680,1,202601
8121400,431680,1,202601
8020001,431680,-1,202601
8121400,431680,-1,202601
8121400,431140,-1,202601
8121400,430100,-1,202601
3811400,431680,-1,202601
8129000,431680,-1,202601
8121400,431140,-1,202601
8020001,431680,1,202601
8121400,432260,1,202601
3811400,430780,1,202601
9700500,431680,1,202601
8121400,431140,1,202601
8121400,431680,1,202601
8121400,432260,-1,202601
8121400,432260,1,202601
8130300,431680,-1,202601
8111700,432145,1,202601
8020001,431680,1,202601
8121400,431680,-1,202601
8111700,431680,-1,202601
8121400,431140,1,202601
8111700,431680,1,202601
8121400,431260,1,202601
8121400,431680,1,202601
8121400,432260,1,202601
8121400,431140,1,202601
8121400,431680,-1,202601
8121400,431680,1,202601
8121400,431140,1,202601
8121400,431680,1,202601
8121400,431680,-1,202601
