ano;SERVIÇOS COMBNADOS PARA APOIO A EDIFÍCIOS, EXCETO CONDOMÍNIOS PREDIAIS;LIMPEZA EM PRÉDIOS E DOMICÍLIOS;ATIVIDADES DE LIMPEZA NÃO ESPECIFICADAS ANTERIORMENTE;UNIDADES DOMICILIARES QUE CONTRATAM EMPREGADOS DOMÉSTICOS PARA PRESTAÇÃO DE SERVIÇOS DE CAMAREIRO DOMÉSTICO;OPERAÇÃO DE DEPÓSITOS DE LIXO E ATERROS SANITÁRIOS PARA DISPOSIÇÃO DE RESÍDUOS NÃO-PERIGOSOS;MONITORAMENTO DE EQUIPAMENTOS DE SEGURANÇA COM A VENDA, INSTALAÇÃO E MANUTENÇÃO ASSOCIADAS;SERVIÇOS DE LIMPEZA URBANA, EXCETO GESTÃO DE ATERROS SANITÁRIOS;SERVIÇOS DE PAISAGISMO, LIMPEZA, MANUTENÇÃO, PLANTIO DE JARDINS;ATIVIDADE DE COMBATE E CONTROLE DE PRAGAS URBANAS;OBTENÇÃO DE COMPOSTOS ORGÂNICOS PARA FERTILIZAÇÃO DO SOLO A PARTIR DE PROCESSO DE DEGRADAÇÃO BIOLÓGICA DE RESÍDUOS ORGÂNICOS (RESTOS DE ALIMENTOS, ESTERCOS ANIMAIS, RESTOS DE CULTURAS AGRÍCOLAS);COLETA DE RESÍDUOS PERIGOSOS QUALQUER ESTADO FÍSICO (SÓLIDO, LÍQUIDO, PASTOSO, GRANULADO);total_vinculos
2021;237;716;172;2;0;414;188;24;57;58;2;1870
2022;331;783;149;21;6;524;185;27;56;53;1;2136
2023;454;931;155;17;8;302;124;57;61;54;0;2163
2024;398;920;223;26;4;330;155;43;61;44;0;2204
2025;465;1081;282;25;3;299;121;46;71;48;0;2441
2026;463;1145;271;23;3;267;127;36;65;45;0;2445
